IMF1(t-1),IMF1(t-2),IMF1(t-3),IMF2(t-1),IMF2(t-2),IMF2(t-3),IMF3(t-1),IMF3(t-2),IMF3(t-3),IMF4(t-1),IMF4(t-2),IMF4(t-3),IMF5(t-1),IMF5(t-2),IMF5(t-3),IMF6(t-1),IMF6(t-2),IMF6(t-3),IMF7(t-1),IMF7(t-2),IMF7(t-3),IMF8(t-1),IMF8(t-2),IMF8(t-3),IMF9(t-1),IMF9(t-2),IMF9(t-3),IMF10(t-1),IMF10(t-2),IMF10(t-3),IMF11(t-1),IMF11(t-2),IMF11(t-3),Tar
-0.236416885,0.078092902,-0.058356925,0.093045017,0.098376541,0.091085199,0.119223191,0.183681891,0.107361823,-0.000181208,0.129163198,0.137318594,-0.044456761,0.05586156,0.211142215,-0.004919671,0.063847216,-0.140010396,0.344144565,-0.019977272,-0.155215231,0.15507421,0.020546516,0.056068183,0.050483422,0.076117701,0.129742562,0.005744473,-0.100030068,0.069577788,0.61546532,0.501752996,0.421403192,1.155373785
0.078092902,0.344144565,0.005744473,0.075558617,0.093045017,0.098376541,-0.007845811,-0.170142144,-0.155215231,-0.044456761,0.146237363,0.092224278,-0.01423123,0.119223191,0.234266706,0.129163198,-0.000181208,-0.004919671,0.42044669,-0.05484556,0.183681891,0.211142215,-0.019977272,0.020546516,-0.040241291,0.15507421,0.137318594,0.050483422,0.05586156,0.129742562,0.501752996,0.421403192,0.379019828,1.744812439
0.344144565,0.42044669,0.050483422,0.047901676,0.075558617,0.093045017,-0.116987397,0.124513798,0.183681891,-0.01423123,0.037827356,0.015152827,0.03379367,-0.007845811,0.219595744,0.146237363,-0.044456761,0.129163198,0.271412678,-0.074985582,-0.170142144,0.234266706,-0.05484556,-0.019977272,-0.019729874,0.211142215,0.092224278,-0.040241291,0.119223191,0.137318594,0.421403192,0.379019828,0.377457431,1.81072659
0.42044669,0.271412678,-0.040241291,0.013339158,0.047901676,0.075558617,-0.037541579,-0.075665855,-0.170142144,0.03379367,-0.096460817,-0.062035641,0.039818314,-0.116987397,0.168437794,0.037827356,-0.01423123,0.146237363,-0.016743799,-0.075291158,0.124513798,0.219595744,-0.074985582,-0.05484556,0.050092916,0.234266706,0.015152827,-0.019729874,-0.007845811,0.092224278,0.379019828,0.377457431,0.417517302,1.85885162
0.271412678,-0.016743799,-0.019729874,-0.023973679,0.013339158,0.047901676,0.094534972,0.044902727,0.124513798,0.039818314,-0.141297017,-0.109833544,-0.040011382,-0.037541579,0.08820809,-0.096460817,0.03379367,0.037827356,-0.286264978,-0.055934752,-0.075665855,0.168437794,-0.075291158,-0.074985582,-0.01326879,0.219595744,-0.062035641,0.050092916,-0.116987397,0.015152827,0.377457431,0.417517302,0.497743801,1.998271877
-0.016743799,-0.286264978,0.050092916,-0.059489229,-0.023973679,0.013339158,0.070218307,-0.032929541,-0.075665855,-0.040011382,-0.064642772,-0.112666507,-0.065578398,0.094534972,-0.008651303,-0.141297017,0.039818314,-0.096460817,-0.394964265,-0.022266873,0.044902727,0.08820809,-0.055934752,-0.075291158,-0.039069067,0.168437794,-0.109833544,-0.01326879,-0.037541579,-0.062035641,0.417517302,0.497743801,0.614343921,2.188514444
-0.286264978,-0.394964265,-0.01326879,-0.088813638,-0.059489229,-0.023973679,-0.058194241,0.028476802,0.044902727,-0.065578398,0.060975185,-0.073884712,0.063961949,0.070218307,-0.106620378,-0.064642772,-0.040011382,-0.141297017,-0.291718879,0.016660222,-0.032929541,-0.008651303,-0.022266873,-0.055934752,0.03660684,0.08820809,-0.112666507,-0.039069067,0.094534972,-0.109833544,0.497743801,0.614343921,0.76124641,1.865920185
-0.394964265,-0.291718879,-0.039069067,-0.108236222,-0.088813638,-0.059489229,-0.082826242,-0.022645928,-0.032929541,0.063961949,0.126820254,-0.012617996,0.079822498,-0.058194241,-0.189611749,0.060975185,-0.065578398,-0.064642772,-0.040042379,0.050538623,0.028476802,-0.106620378,0.016660222,-0.022266873,0.015745952,-0.008651303,-0.073884712,0.03660684,0.070218307,-0.112666507,0.614343921,0.76124641,0.930308122,1.624700209
-0.291718879,-0.040042379,0.03660684,-0.115179628,-0.108236222,-0.088813638,0.018475904,0.011443781,0.028476802,0.079822498,0.081916773,0.045499627,-0.098879519,-0.082826242,-0.243634211,0.126820254,0.063961949,0.060975185,0.22077432,0.070556904,-0.022645928,-0.189611749,0.050538623,0.016660222,-0.045862799,-0.106620378,-0.012617996,0.015745952,-0.058194241,-0.073884712,0.76124641,0.930308122,1.111665321,1.02120407
-0.040042379,0.22077432,0.015745952,-0.10851769,-0.115179628,-0.108236222,0.073088278,0.010711032,-0.022645928,-0.098879519,-0.02800174,0.079296866,-0.075282229,0.018475904,-0.259165881,0.081916773,0.079822498,0.126820254,0.353263221,0.071717379,0.011443781,-0.243634211,0.070556904,0.050538623,0.01269939,-0.189611749,0.045499627,-0.045862799,-0.082826242,-0.012617996,0.930308122,1.111665321,1.294217187,0.654470303
